date,dam,level_m,capacity_m3,api_date,level_raw,capacity_raw
2026-02-13,Osento,442.0,3010000,13/02/2026,"442,00",3.010.000
2026-02-14,Capaccio,140.01,3015000,14/02/2026,"140,01",3.015.000
2026-02-14,Capacciotti,178.0,18288800,14/02/2026,"178,00",18.288.800
2026-02-14,Occhito,179.86,76830480,14/02/2026,"179,86",76.830.480
2026-02-14,Osento,442.25,3120000,14/02/2026,"442,25",3.120.000
2026-02-15,Capaccio,140.13,3195000,15/02/2026,"140,13",3.195.000
2026-02-15,Capacciotti,178.2,18635200,15/02/2026,"178,20",18.635.200
2026-02-15,Occhito,179.98,77792640,15/02/2026,"179,98",77.792.640
2026-02-15,Osento,442.5,3230000,15/02/2026,"442,50",3.230.000
2026-02-16,Capaccio,140.31,3465000,16/02/2026,"140,31",3.465.000
2026-02-16,Capacciotti,178.45,19068700,16/02/2026,"178,45",19.068.700
2026-02-16,Occhito,180.31,81002160,16/02/2026,"180,31",81.002.160
2026-02-16,Osento,442.9,3382000,16/02/2026,"442,90",3.382.000
2026-02-17,Capaccio,140.43,3645000,17/02/2026,"140,43",3.645.000
2026-02-17,Capacciotti,178.65,19415500,17/02/2026,"178,65",19.415.500
2026-02-17,Occhito,180.47,82575920,17/02/2026,"180,47",82.575.920
2026-02-17,Osento,443.35,3546000,17/02/2026,"443,35",3.546.000
2026-02-18,Capaccio,140.56,3840000,18/02/2026,"140,56",3.840.000
2026-02-18,Capacciotti,178.95,19935700,18/02/2026,"178,95",19.935.700
2026-02-18,Occhito,180.63,84149680,18/02/2026,"180,63",84.149.680
2026-02-18,Osento,443.75,3750000,18/02/2026,"443,75",3.750.000
2026-02-19,Capaccio,140.64,3960000,19/02/2026,"140,64",3.960.000
2026-02-19,Capacciotti,179.2,20370000,19/02/2026,"179,20",20.370.000
2026-02-19,Occhito,180.71,84936560,19/02/2026,"180,71",84.936.560
2026-02-19,Osento,443.9,3840000,19/02/2026,"443,90",3.840.000
2026-02-20,Capaccio,140.72,4080000,20/02/2026,"140,72",4.080.000
2026-02-20,Capacciotti,179.45,20803500,20/02/2026,"179,45",20.803.500
2026-02-20,Occhito,180.82,86018520,20/02/2026,"180,82",86.018.520
2026-02-20,Osento,444.05,3920000,20/02/2026,"444,05",3.920.000
2026-02-21,Capaccio,140.87,4305000,21/02/2026,"140,87",4.305.000
2026-02-21,Capacciotti,179.7,21237000,21/02/2026,"179,70",21.237.000
2026-02-21,Occhito,181.02,87985720,21/02/2026,"181,02",87.985.720
2026-02-21,Osento,444.15,3960000,21/02/2026,"444,15",3.960.000
2026-02-22,Capaccio,140.92,4380000,22/02/2026,"140,92",4.380.000
2026-02-22,Capacciotti,179.95,21670500,22/02/2026,"179,95",21.670.500
2026-02-22,Occhito,181.14,89166040,22/02/2026,"181,14",89.166.040
2026-02-22,Osento,444.25,4000000,22/02/2026,"444,25",4.000.000
2026-02-23,Capaccio,140.97,4455000,23/02/2026,"140,97",4.455.000
2026-02-23,Capacciotti,180.15,22043800,23/02/2026,"180,15",22.043.800
2026-02-23,Occhito,181.21,89854560,23/02/2026,"181,21",89.854.560
2026-02-23,Osento,444.3,4020000,23/02/2026,"444,30",4.020.000
2026-02-24,Capaccio,141.01,4516000,24/02/2026,"141,01",4.516.000
2026-02-24,Capacciotti,180.3,22329700,24/02/2026,"180,30",22.329.700
2026-02-24,Occhito,181.26,90346360,24/02/2026,"181,26",90.346.360
2026-02-24,Osento,444.4,4060000,24/02/2026,"444,40",4.060.000
2026-02-25,Capaccio,141.05,4580000,25/02/2026,"141,05",4.580.000
2026-02-25,Capacciotti,180.4,22520300,25/02/2026,"180,40",22.520.300
2026-02-25,Occhito,181.3,90739800,25/02/2026,"181,30",90.739.800
2026-02-25,Osento,444.45,4080000,25/02/2026,"444,45",4.080.000
2026-02-26,Capaccio,141.09,4644000,26/02/2026,"141,09",4.644.000
2026-02-26,Capacciotti,180.5,22710900,26/02/2026,"180,50",22.710.900
2026-02-26,Occhito,181.33,91034880,26/02/2026,"181,33",91.034.880
2026-02-26,Osento,444.45,4080000,26/02/2026,"444,45",4.080.000
2026-02-27,Capaccio,141.12,4692000,27/02/2026,"141,12",4.692.000
2026-02-27,Capacciotti,180.55,22806200,27/02/2026,"180,55",22.806.200
2026-02-27,Occhito,181.36,91329960,27/02/2026,"181,36",91.329.960
2026-02-27,Osento,444.5,4100000,27/02/2026,"444,50",4.100.000
2026-02-28,Capaccio,141.15,4740000,28/02/2026,"141,15",4.740.000
2026-02-28,Capacciotti,180.6,22901500,28/02/2026,"180,60",22.901.500
2026-02-28,Occhito,181.38,91526680,28/02/2026,"181,38",91.526.680
2026-02-28,Osento,444.55,4120000,28/02/2026,"444,55",4.120.000
2026-03-01,Capaccio,141.17,4772000,01/03/2026,"141,17",4.772.000
2026-03-01,Capacciotti,180.6,22901500,01/03/2026,"180,60",22.901.500
2026-03-01,Occhito,181.4,91723400,01/03/2026,"181,40",91.723.400
2026-03-01,Osento,444.6,4140000,01/03/2026,"444,60",4.140.000
2026-03-02,Capaccio,141.19,4804000,02/03/2026,"141,19",4.804.000
2026-03-02,Capacciotti,180.65,22996800,02/03/2026,"180,65",22.996.800
2026-03-02,Occhito,181.42,91920120,02/03/2026,"181,42",91.920.120
2026-03-02,Osento,444.6,4140000,02/03/2026,"444,60",4.140.000
2026-03-03,Capaccio,141.22,4852000,03/03/2026,"141,22",4.852.000
2026-03-03,Capacciotti,180.7,23092100,03/03/2026,"180,70",23.092.100
2026-03-03,Occhito,181.43,92018480,03/03/2026,"181,43",92.018.480
2026-03-03,Osento,444.65,4160000,03/03/2026,"444,65",4.160.000
2026-03-04,Capaccio,141.24,4884000,04/03/2026,"141,24",4.884.000
2026-03-04,Capacciotti,180.7,23092100,04/03/2026,"180,70",23.092.100
2026-03-04,Occhito,181.44,92116840,04/03/2026,"181,44",92.116.840
2026-03-04,Osento,444.65,4160000,04/03/2026,"444,65",4.160.000
2026-03-05,Capaccio,141.25,4900000,05/03/2026,"141,25",4.900.000
2026-03-05,Capacciotti,180.7,23092100,05/03/2026,"180,70",23.092.100
2026-03-05,Occhito,181.45,92215200,05/03/2026,"181,45",92.215.200
2026-03-05,Osento,444.7,4180000,05/03/2026,"444,70",4.180.000
2026-03-06,Capaccio,141.25,4900000,06/03/2026,"141,25",4.900.000
2026-03-06,Capacciotti,180.75,23187400,06/03/2026,"180,75",23.187.400
2026-03-06,Occhito,181.46,92313560,06/03/2026,"181,46",92.313.560
2026-03-06,Osento,444.7,4180000,06/03/2026,"444,70",4.180.000
2026-03-07,Capaccio,141.27,4932000,07/03/2026,"141,27",4.932.000
2026-03-07,Capacciotti,180.75,23187400,07/03/2026,"180,75",23.187.400
2026-03-07,Occhito,181.48,92510280,07/03/2026,"181,48",92.510.280
2026-03-07,Osento,444.75,4200000,07/03/2026,"444,75",4.200.000
2026-03-08,Capaccio,141.28,4948000,08/03/2026,"141,28",4.948.000
2026-03-08,Capacciotti,180.8,23282700,08/03/2026,"180,80",23.282.700
2026-03-08,Occhito,181.49,92608640,08/03/2026,"181,49",92.608.640
2026-03-08,Osento,444.75,4200000,08/03/2026,"444,75",4.200.000
2026-03-09,Capaccio,141.31,4996000,09/03/2026,"141,31",4.996.000
2026-03-09,Capacciotti,180.8,23282700,09/03/2026,"180,80",23.282.700
2026-03-09,Occhito,181.5,92707000,09/03/2026,"181,50",92.707.000
2026-03-09,Osento,444.8,4220000,09/03/2026,"444,80",4.220.000
2026-03-10,Capaccio,141.35,5060000,10/03/2026,"141,35",5.060.000
2026-03-10,Capacciotti,180.85,23378000,10/03/2026,"180,85",23.378.000
2026-03-10,Occhito,181.51,92805360,10/03/2026,"181,51",92.805.360
2026-03-10,Osento,444.8,4220000,10/03/2026,"444,80",4.220.000
2026-03-11,Capaccio,141.38,5108000,11/03/2026,"141,38",5.108.000
2026-03-11,Capacciotti,180.95,23568600,11/03/2026,"180,95",23.568.600
2026-03-11,Occhito,181.53,93002080,11/03/2026,"181,53",93.002.080
2026-03-11,Osento,444.85,4240000,11/03/2026,"444,85",4.240.000
2026-03-12,Capaccio,141.39,5124000,12/03/2026,"141,39",5.124.000
2026-03-12,Capacciotti,181.0,23663000,12/03/2026,"181,00",23.663.000
2026-03-12,Occhito,181.55,93198800,12/03/2026,"181,55",93.198.800
2026-03-12,Osento,444.9,4260000,12/03/2026,"444,90",4.260.000
2026-03-13,Capaccio,141.42,5172000,13/03/2026,"141,42",5.172.000
2026-03-13,Capacciotti,181.15,23948900,13/03/2026,"181,15",23.948.900
2026-03-13,Occhito,181.58,93493880,13/03/2026,"181,58",93.493.880
2026-03-13,Osento,445.0,4300000,13/03/2026,"445,00",4.300.000
2026-03-14,Capaccio,141.45,5220000,14/03/2026,"141,45",5.220.000
2026-03-14,Capacciotti,181.25,24139500,14/03/2026,"181,25",24.139.500
2026-03-14,Occhito,181.6,93690600,14/03/2026,"181,60",93.690.600
2026-03-14,Osento,445.0,4300000,14/03/2026,"445,00",4.300.000
2026-03-15,Capaccio,141.53,5348000,15/03/2026,"141,53",5.348.000
2026-03-15,Capacciotti,181.4,24425400,15/03/2026,"181,40",24.425.400
2026-03-15,Occhito,181.63,93985680,15/03/2026,"181,63",93.985.680
2026-03-15,Osento,445.05,4315000,15/03/2026,"445,05",4.315.000
2026-03-16,Capaccio,141.57,5412000,16/03/2026,"141,57",5.412.000
2026-03-16,Capacciotti,181.65,24901900,16/03/2026,"181,65",24.901.900
2026-03-16,Occhito,181.65,94182400,16/03/2026,"181,65",94.182.400
2026-03-16,Osento,445.1,4330000,16/03/2026,"445,10",4.330.000
2026-03-17,Capaccio,141.62,5492000,17/03/2026,"141,62",5.492.000
2026-03-17,Capacciotti,181.9,25378400,17/03/2026,"181,90",25.378.400
2026-03-17,Occhito,181.71,94772560,17/03/2026,"181,71",94.772.560
2026-03-17,Osento,445.35,4405000,17/03/2026,"445,35",4.405.000
2026-03-18,Capaccio,141.78,5748000,18/03/2026,"141,78",5.748.000
2026-03-18,Capacciotti,182.1,25777000,18/03/2026,"182,10",25.777.000
2026-03-18,Occhito,181.83,95952880,18/03/2026,"181,83",95.952.880
2026-03-18,Osento,445.5,4450000,18/03/2026,"445,50",4.450.000
2026-03-19,Capaccio,141.87,5892000,19/03/2026,"141,87",5.892.000
2026-03-19,Capacciotti,182.35,26299000,19/03/2026,"182,35",26.299.000
2026-03-19,Occhito,181.93,96936480,19/03/2026,"181,93",96.936.480
2026-03-19,Osento,446.45,4925000,19/03/2026,"446,45",4.925.000
2026-03-20,Capaccio,141.99,6084000,20/03/2026,"141,99",6.084.000
2026-03-20,Capacciotti,182.55,26716600,20/03/2026,"182,55",26.716.600
2026-03-20,Occhito,182.16,99198760,20/03/2026,"182,16",99.198.760
2026-03-20,Osento,448.0,5880000,20/03/2026,"448,00",5.880.000
2026-03-21,Capaccio,142.06,6199000,21/03/2026,"142,06",6.199.000
2026-03-21,Capacciotti,182.7,27029800,21/03/2026,"182,70",27.029.800
2026-03-21,Occhito,182.26,100182360,21/03/2026,"182,26",100.182.360
2026-03-21,Osento,448.3,6000000,21/03/2026,"448,30",6.000.000
2026-03-22,Capaccio,142.11,6281500,22/03/2026,"142,11",6.281.500
2026-03-22,Capacciotti,183.0,27655200,22/03/2026,"183,00",27.655.200
2026-03-22,Occhito,182.32,100772520,22/03/2026,"182,32",100.772.520
2026-03-22,Osento,448.45,6060000,22/03/2026,"448,45",6.060.000
2026-03-23,Capaccio,142.15,6347500,23/03/2026,"142,15",6.347.500
2026-03-23,Capacciotti,183.2,28072800,23/03/2026,"183,20",28.072.800
2026-03-23,Occhito,182.37,101264320,23/03/2026,"182,37",101.264.320
2026-03-23,Osento,448.5,6080000,23/03/2026,"448,50",6.080.000
2026-03-24,Capaccio,142.21,6446500,24/03/2026,"142,21",6.446.500
2026-03-24,Capacciotti,183.5,28699200,24/03/2026,"183,50",28.699.200
2026-03-24,Occhito,182.42,101756120,24/03/2026,"182,42",101.756.120
2026-03-24,Osento,448.7,6212000,24/03/2026,"448,70",6.212.000
2026-03-25,Capaccio,142.26,6529000,25/03/2026,"142,26",6.529.000
2026-03-25,Capacciotti,183.7,29116800,25/03/2026,"183,70",29.116.800
2026-03-25,Occhito,182.45,102051200,25/03/2026,"182,45",102.051.200
2026-03-25,Osento,448.8,6278000,25/03/2026,"448,80",6.278.000
2026-03-26,Capaccio,142.3,6595000,26/03/2026,"142,30",6.595.000
2026-03-26,Capacciotti,183.9,29534400,26/03/2026,"183,90",29.534.400
2026-03-26,Occhito,182.48,102346280,26/03/2026,"182,48",102.346.280
2026-03-26,Osento,448.85,6311000,26/03/2026,"448,85",6.311.000
2026-03-27,Capaccio,142.34,6661000,27/03/2026,"142,34",6.661.000
2026-03-27,Capacciotti,184.1,29969600,27/03/2026,"184,10",29.969.600
2026-03-27,Occhito,182.49,102444640,27/03/2026,"182,49",102.444.640
2026-03-27,Osento,448.95,6377000,27/03/2026,"448,95",6.377.000
2026-03-28,Capaccio,142.36,6694000,28/03/2026,"142,36",6.694.000
2026-03-28,Capacciotti,184.3,30424400,28/03/2026,"184,30",30.424.400
2026-03-28,Occhito,182.58,103329880,28/03/2026,"182,58",103.329.880
2026-03-28,Osento,449.0,6410000,28/03/2026,"449,00",6.410.000
2026-03-29,Capaccio,142.39,6743500,29/03/2026,"142,39",6.743.500
2026-03-29,Capacciotti,184.5,30879200,29/03/2026,"184,50",30.879.200
2026-03-29,Occhito,182.75,105002000,29/03/2026,"182,75",105.002.000
2026-03-29,Osento,449.1,6458000,29/03/2026,"449,10",6.458.000
2026-03-30,Capaccio,142.42,6793000,30/03/2026,"142,42",6.793.000
2026-03-30,Capacciotti,184.75,31447700,30/03/2026,"184,75",31.447.700
2026-03-30,Occhito,182.82,105690520,30/03/2026,"182,82",105.690.520
2026-03-30,Osento,449.15,6482000,30/03/2026,"449,15",6.482.000
2026-03-31,Capaccio,142.47,6875500,31/03/2026,"142,47",6.875.500
2026-03-31,Capacciotti,185.0,32016700,31/03/2026,"185,00",32.016.700
2026-03-31,Occhito,182.97,107165920,31/03/2026,"182,97",107.165.920
2026-03-31,Osento,449.3,6554000,31/03/2026,"449,30",6.554.000
2026-04-01,Capaccio,142.95,7667500,01/04/2026,"142,95",7.667.500
2026-04-01,Capacciotti,185.25,32585200,01/04/2026,"185,25",32.585.200
2026-04-01,Occhito,185.4,131143400,01/04/2026,"185,40",131.143.400
